SA2 Code 2018,SA2 2018,DHB of residence,Ethnicity,Population,At least partially vaccinated,Fully vaccinated,Partially vaccinated uptake,Fully vaccinated uptake,SA22018_name,VaccPlanName,Booster vaccinated,Booster vaccinated uptake
119600,Westgate South,Waitemata,Pacific Peoples,262,236,223,901,851,,,Masked,
119800,West Harbour West,Waitemata,Maori,561,489,457,872,815,,,Masked,
119800,West Harbour West,Waitemata,Pacific Peoples,546,507,484,929,886,,,Masked,
119900,Unsworth Heights West,Waitemata,Maori,55,Masked,Masked,>950,>950,,,Masked,
119900,Unsworth Heights West,Waitemata,Pacific Peoples,43,Masked,Masked,>950,>950,,,Masked,
120000,Murrays Bay East,Waitemata,Maori,65,Masked,Masked,>950,>950,,,Masked,
120100,Birdwood West,Waitemata,Maori,99,89,84,899,848,,,Masked,
120100,Birdwood West,Waitemata,Pacific Peoples,42,36,35,857,833,,,Masked,
120200,Hobsonville Point,Waitemata,Maori,239,Masked,Masked,>950,>950,,,Masked,
120200,Hobsonville Point,Waitemata,Pacific Peoples,155,Masked,Masked,>950,>950,,,Masked,
120300,West Harbour Clearwater Cove,Waitemata,Maori,197,Masked,Masked,>950,>950,,,Masked,
120300,West Harbour Clearwater Cove,Waitemata,Pacific Peoples,156,Masked,Masked,>950,>950,,,Masked,
120400,Unsworth Heights East,Waitemata,Maori,164,Masked,154,>950,939,,,Masked,
120400,Unsworth Heights East,Waitemata,Pacific Peoples,112,Masked,Masked,>950,>950,,,Masked,
120500,Mairangi Bay North,Waitemata,Maori,85,Masked,Masked,>950,>950,,,Masked,
120500,Mairangi Bay North,Waitemata,Pacific Peoples,41,36,34,878,829,,,Masked,
120600,Massey Central,Waitemata,Maori,463,429,400,927,864,,,Masked,
120600,Massey Central,Waitemata,Pacific Peoples,659,Masked,596,>950,904,,,Masked,
120700,West Harbour Luckens Point,Waitemata,Maori,102,Masked,Masked,>950,>950,,,Masked,
120700,West Harbour Luckens Point,Waitemata,Pacific Peoples,89,Masked,82,>950,921,,,Masked,
